
ULwjaY2xyw,Assignment1,2017-09-15,Use ArrayList to program a Blackjack game.,100
dn2lQ8vS7k,Assignment1,2018-09-13,Use ArrayList to program a Blackjack game.,100
rmS9jHoIts,Homework1,2019-02-07,Create an ER diagram for the Emory College University Database.,100
nDjbU9kEpX,Assignment1,2019-09-20,Use ArrayList to program a Blackjack game,100
XVQf7mOI1Z,Assignment1,2020-02-09,Write queries and relational constraints in relational algebra for the 2019 Pan Am Games.,100
JqFUfLAumt,Project1,2020-09-26,Use OOP to implement different types of shapes,100
a9sskUPpbH,Assignment1,2021-02-09,Write queries and relational constraints in relational algebra for the 2019 Pan Am Games.,100
IvQtGSPKP9,Assignment1,2021-09-20,Use OOP to implement different types of shapes,100
YjairWTC40,Assignment1,2021-09-22,Write relational algebra queries for two different database schemas.,100
ULwjaY2xyw,Assignment2,2017-09-28,Use stacks to implement a backtracking algorithm to solve N-Queens problem.,100
dn2lQ8vS7k,Assignment2,2018-09-29,Use stacks to implement a backtracking algorithm to solve N-Queens problem.,100
rmS9jHoIts,Homework2,2019-02-14,Design a relational data model for various ER models of the university,100
nDjbU9kEpX,Assignment2,2019-10-02,Use stacks to implement a backtracking algorithm to solve N-Queens problem.,100
XVQf7mOI1Z,Assignment2,2020-02-29,Write SQL queries to work with a music industry database.,100
JqFUfLAumt,Project2,2020-10-15,Solve the famous Knights Tour problem using a stack,100
a9sskUPpbH,Assignment2,2021-02-27,Write SQL queries to work with a music industry database.,100
IvQtGSPKP9,Assignment2,2021-10-04,Use ArrayList to program a Blackjack game,100
YjairWTC40,Assignment2,2021-10-06,Formulate SQL queries for the Yelp Database,100
ULwjaY2xyw,Assignment3,2017-10-08,Use stacks and queues to solve a maze traversal problem.,100
dn2lQ8vS7k,Assignment3,2018-10-10,Use stacks and queues to solve a maze traversal problem.,100
rmS9jHoIts,Homework3,2019-02-26,Formulate relational algebra queries,100
nDjbU9kEpX,Assignment3,2019-10-10,Use stacks and queues to solve a maze traversal problem.,100
XVQf7mOI1Z,Assignment3,2020-04-03,Develop a Java application to browse the music industry database,100
JqFUfLAumt,Midterm,2020-10-22,Online midterm for CS171,50
a9sskUPpbH,Assignment3,2021-04-02,Develop a Java application to browse the music industry database,100
IvQtGSPKP9,Assignment3,2021-10-18,Solve the famous Knights Tour problem using a stack,100
YjairWTC40,Assignment3,2021-10-18,Formulate advanced SQL queries for the Yelp Database,100
ULwjaY2xyw,Assignment4,2017-10-20,Implement bubble sort and a non-recursive version of mergesort.,100
dn2lQ8vS7k,Assignment4,2018-11-01,Implement bubble sort and a non-recursive version of mergesort.,100
rmS9jHoIts,Midterm,2019-03-21,Midterm for the course,100
nDjbU9kEpX,Assignment4,2019-10-24,Implement bubble sort and a non-recursive version of mergesort.,100
XVQf7mOI1Z,Assignment4,2020-05-02,Database design for the US congress database,100
JqFUfLAumt,Project3,2020-10-30,Implement an Itunes playlist using a double-ended linked list,100
a9sskUPpbH,Assignment4,2021-04-28,Database design for the US congress database,100
IvQtGSPKP9,Midterm,2021-10-20,Midterm exam,60
YjairWTC40,Midterm,2021-10-20,Midterm exam,100
ULwjaY2xyw,Midterm1,2017-10-24,First midterm of the the course.,60
dn2lQ8vS7k,Midterm1,2018-10-22,First midterm of the the course.,60
rmS9jHoIts,Homework4,2019-03-26,Answer some SQL queries on the supplier project database.,100
nDjbU9kEpX,Midterm1,2019-10-25,First midterm of the the course.,60
XVQf7mOI1Z,Midterm,2020-04-15,Online midterm exam,100
JqFUfLAumt,Project4,2020-11-14,Implement several sorting optimization algorithms,100
a9sskUPpbH,Midterm,2021-04-15,Online midterm exam,100
IvQtGSPKP9,Assignment4,2021-11-04,Implement an Itunes playlist using a double-ended linked list,100
YjairWTC40,Assignment4,2021-11-05,Formulate MongoDB queries for the Yelp database,100
ULwjaY2xyw,Assignment5,2017-11-14,Implement a hash table to count the number of times a word appears in a document.,100
dn2lQ8vS7k,Assignment5,2018-11-13,Implement a hash table to count the number of times a word appears in a document.,100
rmS9jHoIts,Homework5,2019-04-04,Answer more advanced queries on the supplier project database.,100
nDjbU9kEpX,Assignment5,2019-11-13,Implement a hash table to count the number of times a word appears in a document.,100
XVQf7mOI1Z,Final Exam,2020-05-09,Online final exam,150
JqFUfLAumt,Project5,2020-11-29,Implement a Binary Search Tree for indexing/searching movies efficiently in IMDB,100
a9sskUPpbH,Final Exam,2021-05-06,Online final exam,150
IvQtGSPKP9,Assignment5,2021-11-24,Implement several sorting optimization algorithms,100
YjairWTC40,Assignment5,2019-11-19,Database design questions.,100
